,0
0,0.0
1,0.0
2,73.4761904762
3,20.5
4,225.125
5,0.0
6,1374.71428571
7,242.575757576
8,41.7619047619
9,79.75
10,339.0
11,0.0
12,187.0
13,1749.85106383
14,135.111111111
15,797.197183099
16,149.111111111
17,372.619047619
18,76.4761904762
19,189.506666667
20,223.875
21,206.577777778
22,40.0
23,255.0
24,47.0
25,269.034482759
26,249.733333333
27,1163.80327869
28,184.391304348
29,242.476190476
30,91.0
31,255.037037037
32,938.537037037
33,456.857142857
34,354.8125
35,78.1724137931
36,83.125
37,38.1428571429
38,40.25
39,70.5
40,72.0476190476
41,457.0
42,254.4
43,159.619047619
44,226.785714286
45,94.0
46,240.642857143
47,133.0
48,72.8181818182
49,127.615384615
50,1876.29411765
51,45.0
52,157.257142857
53,80.1884615385
54,120.428571429
55,144.941176471
56,104.916666667
57,206.230769231
58,0.0
59,16.125
60,240.878787879
61,148.954545455
62,137.666666667
63,134.833333333
64,114.2
65,220.818181818
66,6.33333333333
67,284.628571429
68,146.714285714
69,1.0
70,547.0
71,120.076923077
72,81.8571428571
73,110.5
74,547.0
75,179.866666667
76,1458.71428571
77,263.928571429
78,1266.16666667
79,116.0
80,197.375
81,106.0
82,182.034482759
83,126.888888889
84,997.444444444
85,6.0
86,214.874015748
87,547.0
88,1066.20833333
89,1336.91176471
90,95.15
91,1239.42857143
92,186.357142857
93,75.5384615385
94,93.03125
95,323.361111111
96,1407.12903226
97,969.666666667
98,193.2
99,311.064516129
100,142.642857143
101,49.0
102,101.75
103,1158.53333333
104,114.428571429
105,75.0
106,1260.93846154
107,461.8
108,183.777777778
109,112.295454545
110,60.25
111,418.6
112,209.045454545
113,1215.45
114,153.8
115,301.909090909
116,1054.9047619
117,426.692307692
118,140.181818182
119,236.480519481
120,354.0
121,191.666666667
122,84.9444444444
123,0.0
124,29.5
125,1492.0
126,3.33333333333
127,4.0
128,1481.14285714
129,116.0
130,107.8125
131,0.0
132,206.375
133,1491.95833333
134,165.333333333
135,1182.09090909
136,115.0
137,92.0
138,191.05
139,108.7
140,74.375
141,116.0
142,1413.5
143,999.902439024
144,2252.0
145,4.66666666667
146,231.172413793
147,55.1666666667
148,121.909090909
149,295.571428571
150,191.444444444
151,297.303571429
152,22.3333333333
153,389.333333333
154,180.034482759
155,891.102564103
156,72.6
157,16.3333333333
158,242.0
159,91.6
160,161.230769231
161,0.0
162,8.5
163,161.333333333
164,1151.0
165,0.0
166,75.9259259259
167,477.428571429
168,90.0606060606
169,1341.15789474
170,103.555555556
171,36.4210526316
172,1348.25
173,125.941176471
174,132.5625
175,215.916666667
176,20.1666666667
177,117.78
178,0.666666666667
179,277.6
180,91.0
181,100.555555556
182,181.869565217
183,206.724637681
184,129.038461538
185,137.292682927
186,236.3
187,165.318181818
188,278.56097561
189,0.5
190,149.25
191,8.33333333333
192,63.8571428571
193,316.666666667
194,53.0
195,0.0
196,238.340206186
197,2389.72222222
198,134.191780822
199,112.75
200,0.0
201,0.0
202,182.206896552
203,30.6666666667
204,138.862068966
205,174.105263158
206,1367.2
207,230.361111111
208,169.357142857
209,0.0
210,37.0
211,134.571428571
212,91.0
213,1.0
214,85.4
215,48.2222222222
216,937.2
217,79.6
218,207.47706422
219,905.636363636
220,1516.32432432
221,1541.77878104
222,157.6
223,4.0
224,95.9473684211
225,194.692307692
226,254.411764706
227,40.0
228,202.416666667
229,174.0
230,1093.61904762
231,160.567567568
232,119.28
233,182.283783784
234,1386.0
235,225.25
236,106.888888889
237,1080.58823529
238,91.0
239,847.636363636
240,83.2
241,77.8333333333
242,135.166666667
243,341.833333333
244,155.777777778
245,128.0
246,0.0
247,186.666666667
248,226.777777778
249,222.909090909
250,1126.88461538
251,128.0
252,1174.45833333
253,212.985507246
254,147.135135135
255,183.4
256,0.0
257,230.222222222
258,117.956521739
259,984.05
260,139.523809524
261,0.0
262,1243.16216216
263,187.0
264,92.8235294118
265,1741.0
266,143.666666667
267,198.035714286
268,148.61971831
269,31.2857142857
270,968.466666667
271,722.047619048
272,310.666666667
273,1120.85185185
274,394.0
275,245.833333333
276,111.894736842
277,91.0
278,1103.4
279,262.0
280,273.222222222
281,1.33333333333
282,771.666666667
283,166.974683544
284,101.482142857
285,70.0
286,2054.83333333
287,89.6351351351
288,86.8333333333
289,646.666666667
290,113.941176471
291,25.0
292,1302.69230769
293,179.346153846
294,943.6
295,0.666666666667
296,167.035714286
297,1285.70068027
298,78.1666666667
299,175.421052632
300,38.2857142857
301,28.0
302,297.142857143
303,154.548387097
304,1460.46666667
305,125.8
306,604.0
307,123.56
308,1698.16129032
309,7.66666666667
310,254.454545455
311,140.6
312,147.6875
313,83.0
314,0.0
315,31.375
316,591.25
317,1710.7
318,19.75
319,9.66666666667
320,0.0
321,1480.70588235
322,167.380952381
323,169.0
324,106.840909091
325,0.0
326,121.0
327,178.5
328,174.78125
329,1.25
330,9.66666666667
331,121.765765766
332,1057.9375
333,1007.46153846
334,1421.03846154
335,683.666666667
336,51.0
337,874.0
338,161.0
339,82.0769230769
340,17.0
341,204.984126984
342,1165.95384615
343,1503.375
344,1.18181818182
345,140.0
346,7.0
347,328.0
348,213.416666667
349,874.384615385
350,214.271317829
351,235.827586207
352,106.2
353,158.285714286
354,78.5333333333
355,1.33333333333
356,136.416666667
357,119.666666667
358,342.571428571
359,9.0625
360,676.25
361,283.993421053
362,96.4444444444
363,131.882352941
364,67.5555555556
365,151.5
366,0.0
367,154.181818182
368,162.538461538
369,197.0
370,130.363636364
371,121.25
372,1564.33333333
373,73.5333333333
374,516.6
375,208.096774194
376,977.066666667
377,175.904761905
378,90.4444444444
379,0.0
380,192.266666667
381,1048.32352941
382,127.739130435
383,16.3333333333
384,149.266666667
385,547.0
386,202.258064516
387,81.8333333333
388,165.476190476
389,138.25
390,149.4
391,0.0
392,184.857142857
393,102.181818182
394,194.222222222
395,152.555555556
396,87.1176470588
397,110.564516129
398,185.711111111
399,304.47826087
400,2054.125
401,284.470588235
402,0.0
403,123.6
404,96.6153846154
405,1177.29411765
406,27.8571428571
407,183.077922078
408,313.125
409,204.25
410,1258.29850746
411,174.227272727
412,66.7142857143
413,0.0
414,251.111111111
415,3.0
416,52.4285714286
417,483.666666667
418,1349.35164835
419,1129.7244898
420,1003.33333333
421,61.4166666667
422,914.235294118
423,562.578947368
424,1491.9
425,596.571428571
426,99.5
427,101.875
428,24.8333333333
429,1088.41666667
430,535.142857143
431,238.75
432,271.6
433,1572.64102564
434,547.0
435,242.041666667
436,0.0
437,139.545454545
438,26.0
439,99.6666666667
440,1834.76923077
441,9.47058823529
442,75.0
443,88.1428571429
444,172.722222222
445,96.5882352941
446,1493.4
447,85.4
448,189.432835821
449,256.157894737
450,266.5
451,215.847826087
452,218.006493506
453,1978.75
454,125.2
455,145.315789474
456,228.857142857
457,547.0
